user_id,device_id
U1000,DEV5198
U1001,DEV5115
U1001,DEV5232
U1002,DEV5076
U1002,DEV5220
U1003,DEV5078
U1003,DEV5145
U1004,DEV5156
U1005,DEV5242
U1006,DEV5160
U1007,DEV5067
U1008,DEV5040
U1009,DEV5044
U1010,DEV5040
U1011,DEV5104
U1012,DEV5176
U1012,DEV5152
U1013,DEV5074
U1013,DEV5008
U1014,DEV5073
U1015,DEV5179
U1015,DEV5220
U1016,DEV5018
U1016,DEV5175
U1017,DEV5236
U1018,DEV5201
U1018,DEV5202
U1019,DEV5108
U1020,DEV5139
U1021,DEV5165
U1022,DEV5232
U1023,DEV5211
U1023,DEV5036
U1024,DEV5015
U1025,DEV5202
U1026,DEV5152
U1026,DEV5191
U1027,DEV5112
U1027,DEV5031
U1028,DEV5176
U1028,DEV5077
U1029,DEV5241
U1029,DEV5069
U1030,DEV5112
U1030,DEV5020
U1031,DEV5227
U1032,DEV5188
U1032,DEV5082
U1033,DEV5006
U1033,DEV5023
U1034,DEV5246
U1035,DEV5195
U1036,DEV5147
U1036,DEV5010
U1037,DEV5120
U1038,DEV5234
U1038,DEV5071
U1039,DEV5149
U1040,DEV5162
U1040,DEV5208
U1041,DEV5248
U1041,DEV5023
U1042,DEV5089
U1042,DEV5104
U1043,DEV5082
U1043,DEV5171
U1044,DEV5219
U1045,DEV5084
U1046,DEV5177
U1046,DEV5126
U1047,DEV5169
U1047,DEV5241
U1048,DEV5208
U1048,DEV5194
U1049,DEV5116
U1050,DEV5080
U1051,DEV5082
U1051,DEV5029
U1052,DEV5221
U1052,DEV5131
U1053,DEV5168
U1054,DEV5105
U1054,DEV5013
U1055,DEV5132
U1056,DEV5159
U1056,DEV5193
U1057,DEV5160
U1057,DEV5113
U1058,DEV5052
U1059,DEV5140
U1059,DEV5033
U1060,DEV5112
U1060,DEV5225
U1061,DEV5031
U1061,DEV5007
U1062,DEV5181
U1063,DEV5079
U1064,DEV5141
U1065,DEV5023
U1065,DEV5057
U1066,DEV5118
U1067,DEV5165
U1068,DEV5127
U1069,DEV5130
U1069,DEV5180
U1070,DEV5106
U1070,DEV5213
U1071,DEV5120
U1071,DEV5062
U1072,DEV5141
U1072,DEV5037
U1073,DEV5048
U1073,DEV5235
U1074,DEV5221
U1075,DEV5070
U1076,DEV5087
U1076,DEV5239
U1077,DEV5210
U1077,DEV5000
U1078,DEV5185
U1078,DEV5076
U1079,DEV5221
U1079,DEV5038
U1080,DEV5137
U1080,DEV5123
U1081,DEV5085
U1081,DEV5141
U1082,DEV5116
U1082,DEV5238
U1083,DEV5222
U1083,DEV5048
U1084,DEV5146
U1085,DEV5059
U1085,DEV5219
U1086,DEV5011
U1086,DEV5081
U1087,DEV5180
U1087,DEV5233
U1088,DEV5098
U1088,DEV5169
U1089,DEV5126
U1090,DEV5032
U1091,DEV5222
U1091,DEV5025
U1092,DEV5025
U1092,DEV5134
U1093,DEV5003
U1093,DEV5184
U1094,DEV5104
U1095,DEV5019
U1096,DEV5200
U1096,DEV5248
U1097,DEV5086
U1097,DEV5159
U1098,DEV5166
U1098,DEV5020
U1099,DEV5218
U1099,DEV5172
U1100,DEV5244
U1100,DEV5081
U1101,DEV5223
U1101,DEV5138
U1102,DEV5158
U1103,DEV5060
U1104,DEV5058
U1104,DEV5191
U1105,DEV5111
U1106,DEV5194
U1107,DEV5113
U1108,DEV5177
U1109,DEV5231
U1109,DEV5007
U1110,DEV5083
U1111,DEV5075
U1112,DEV5095
U1112,DEV5110
U1113,DEV5062
U1114,DEV5144
U1114,DEV5174
U1115,DEV5043
U1116,DEV5020
U1117,DEV5158
U1117,DEV5174
U1118,DEV5127
U1119,DEV5059
U1120,DEV5163
U1120,DEV5065
U1121,DEV5065
U1121,DEV5170
U1122,DEV5230
U1123,DEV5230
U1123,DEV5073
U1124,DEV5018
U1125,DEV5241
U1125,DEV5088
U1126,DEV5163
U1126,DEV5246
U1127,DEV5176
U1127,DEV5064
U1128,DEV5216
U1128,DEV5077
U1129,DEV5098
U1130,DEV5027
U1130,DEV5060
U1131,DEV5146
U1131,DEV5091
U1132,DEV5179
U1132,DEV5075
U1133,DEV5212
U1134,DEV5070
U1134,DEV5002
U1135,DEV5233
U1136,DEV5213
U1136,DEV5231
U1137,DEV5198
U1137,DEV5204
U1138,DEV5155
