device_id,ip_address,os
DEV5000,191.60.39.157,MacOS
DEV5001,159.105.157.225,Android
DEV5002,16.141.65.190,MacOS
DEV5003,78.46.162.175,Android
DEV5004,47.146.79.208,iOS
DEV5005,55.158.7.245,Windows
DEV5006,27.0.15.128,Windows
DEV5007,53.43.175.70,iOS
DEV5008,61.10.41.149,Android
DEV5009,125.1.111.247,Windows
DEV5010,115.20.211.68,Android
DEV5011,43.217.126.190,Android
DEV5012,99.223.163.130,Android
DEV5013,125.33.202.105,iOS
DEV5014,192.70.54.54,iOS
DEV5015,55.24.172.232,Android
DEV5016,104.57.243.162,MacOS
DEV5017,136.25.239.107,iOS
DEV5018,124.55.213.171,MacOS
DEV5019,5.2.158.210,MacOS
DEV5020,159.106.142.124,Android
DEV5021,64.200.244.208,MacOS
DEV5022,158.10.153.120,MacOS
DEV5023,26.231.16.35,MacOS
DEV5024,96.105.56.50,Android
DEV5025,123.210.99.174,Android
DEV5026,68.46.150.56,iOS
DEV5027,36.189.195.37,iOS
DEV5028,131.110.84.192,MacOS
DEV5029,108.220.130.161,Android
DEV5030,79.226.92.80,Android
DEV5031,90.162.152.91,MacOS
DEV5032,142.113.168.114,iOS
DEV5033,188.44.14.139,Android
DEV5034,30.42.197.61,iOS
DEV5035,59.113.242.177,MacOS
DEV5036,35.218.208.52,Android
DEV5037,134.89.215.193,MacOS
DEV5038,200.212.198.90,Windows
DEV5039,144.239.246.76,MacOS
DEV5040,138.13.57.48,MacOS
DEV5041,113.51.119.57,MacOS
DEV5042,110.137.73.184,Android
DEV5043,31.9.133.229,MacOS
DEV5044,46.208.129.177,MacOS
DEV5045,50.24.14.204,Windows
DEV5046,157.14.217.104,Android
DEV5047,78.240.106.97,Windows
DEV5048,214.84.136.246,MacOS
DEV5049,46.99.71.41,Android
DEV5050,145.0.31.86,Windows
DEV5051,172.146.63.82,MacOS
DEV5052,83.175.233.112,iOS
DEV5053,146.120.152.143,Windows
DEV5054,30.255.146.224,Android
DEV5055,153.194.179.23,Windows
DEV5056,207.243.74.232,Windows
DEV5057,17.70.138.31,Windows
DEV5058,218.80.117.88,iOS
DEV5059,129.167.197.60,Android
DEV5060,65.83.228.191,Android
DEV5061,198.8.159.213,Android
DEV5062,139.54.83.46,MacOS
DEV5063,30.38.190.68,Android
DEV5064,213.206.194.81,Android
DEV5065,198.239.150.40,iOS
DEV5066,159.120.111.127,MacOS
DEV5067,195.225.74.103,MacOS
