merchant_id,merchant_name,category
M100,"Rodgers, Cain and Hawkins",Crypto Exchange
M101,"Frye, Hoffman and Santiago",Crypto Exchange
M102,Gomez-Ortega,Travel
M103,Parrish-Griffith,Electronics
M104,Burke-Bell,Retail
M105,"Romero, Moore and Olson",Travel
M106,Bell PLC,Crypto Exchange
M107,Wilson-Ramirez,Retail
M108,Aguirre PLC,Retail
M109,"Austin, Day and Johnson",Crypto Exchange
M110,"Gallegos, Adams and White",Crypto Exchange
M111,"Farmer, Dorsey and Bell",Retail
M112,Kane PLC,Retail
M113,"Morales, Thomas and Schultz",Electronics
M114,Davis PLC,Electronics
M115,Bennett Group,Travel
M116,Moore-Collins,Retail
M117,Frank-Bradley,Electronics
M118,Ware and Sons,Retail
M119,Webster Inc,Crypto Exchange
